ilsenatedist,senator,party,ilmoneykids,eitc,kideitc,kidavgeitc10,kidavgeitc20,multeffect10,multeffect20
1,Antonio Munoz,D,5464974,21617,28318,329,657,8.5,16.9
2,William Delgado,D,4699067,19961,26149,306,611,7.3,14.5
3,Mattie Hunter,D,6171191,22672,29701,352,703,9.5,19.1
4,Kimberly A. Lightford,D,5980582,23062,30211,333,666,9.2,18.5
5,Patricia Van Pelt,D,7004287,25449,33338,356,712,10.8,21.7
6,John J. Cullerton,D,1241532,8139,10662,194,388,1.9,3.9
7,Heather A. Steans,D,3278838,16793,21999,254,507,5.1,10.1
8,Ira I. Silverstein,D,3189458,14613,19143,280,560,4.9,9.9
9,Daniel Biss,D,1523878,7792,10208,254,507,2.4,4.7
10,John G. Mulroe,D,2876106,14805,19395,252,503,4.4,8.9
11,Martin A. Sandoval,D,5279340,20433,26767,336,671,8.1,16.3
12,Steven M. Landek,D,5086620,19856,26012,332,664,7.9,15.7
13,Kwame Raoul,D,6454372,24014,31458,348,695,10,20
14,"Emil Jones, III",D,5837099,22194,29074,341,682,9,18.1
15,"Napoleon Harris, III",D,6248058,23454,30725,346,692,9.7,19.4
16,Jacqueline Y. Collins,D,6842182,25232,33054,352,703,10.5,21.2
17,Donne E. Trotter,D,6688446,25303,33147,344,687,10.3,20.7
18,Bill Cunningham,D,3153048,13707,17956,299,598,4.9,9.7
19,Michael E. Hastings,D,2928822,12450,16309,293,585,4.5,9.1
20,Iris Y. Martinez,D,3971093,18311,23987,280,560,6.1,12.3
21,Michael Connelly,R,1361802,7071,9263,250,499,2.1,4.2
22,Michael Noland,D,3626160,15407,20183,303,606,5.6,11.2
23,Thomas Cullerton,D,2518443,11931,15630,273,546,3.9,7.8
24,Chris Nybo,R,1329927,7141,9355,241,482,2.1,4.1
25,Jim Oberweis,R,1815369,8733,11440,270,539,2.8,5.6
26,Dan Duffy,R,1266561,6685,8757,242,484,2,3.9
27,Matt Murphy,R,1668401,8984,11769,242,483,2.6,5.2
28,Dan Kotowski,D,2153228,11237,14721,249,498,3.4,6.6
29,Julie A. Morrison,D,1326752,7062,9251,242,483,2.1,4.1
30,Terry Link,D,3687572,15422,20203,299,598,5.7,11.4
31,Melinda Bush,D,2830192,12631,16546,291,582,4.4,8.7
32,Pamela J. Althoff,R,2148039,10866,14235,256,511,3.3,6.6
33,Karen McConnaughay,R,1715711,8499,11133,263,525,2.7,5.3
34,Steve Stadelman,D,4816480,20091,26319,308,615,7.4,14.9
35,Dave Syverson,R,2590261,12156,15924,276,551,4.1,8
36,Neil Anderson,R,3720852,16849,22073,286,572,5.7,11.5
37,Darin M. LaHood,R,2545221,12261,16062,269,538,4,7.9
38,Sue Rezin,R,2778259,13464,17637,268,536,4.3,8.6
39,Don Harmon,D,3988930,17353,22733,299,597,6.2,12.4
40,Toi W. Hutchinson,D,4397385,17821,23345,321,641,6.8,13.6
41,Christine Radogno,R,1492643,7914,10367,245,490,2.3,4.6
42,Linda Holmes,D,3347656,13956,18283,309,617,5.2,10.3
43,Pat McGuire,D,4112806,17172,22496,309,617,6.4,12.7
44,William E. Brady,R,2861470,13425,17587,277,553,4.4,8.9
45,Tim Bivins,R,2926621,13907,18219,273,545,4.6,9
46,David Koehler,D,4455950,19197,25148,296,591,6.9,13.8
47,John M. Sullivan,D,3187874,15317,20065,270,540,4.9,9.8
48,Andy Manar,D,3858835,17145,22460,289,578,6,12
49,Jennifer Bertino-Tarrant,D,2297159,10388,13608,286,572,3.5,7.1
50,Wm. Sam McCann,R,3144676,14503,18999,282,563,4.9,9.7
51,Chapin Rose,R,2779108,13156,17234,275,549,4.3,8.6
52,Scott M. Bennett,D,3758947,16012,20976,302,604,5.8,11.6
53,Jason A. Barickman,R,2521616,11949,15654,274,547,3.9,7.8
54,Kyle McCarter,R,2828165,13519,17710,270,539,4.4,8.7
55,Dale A. Righter,R,3065021,15030,19690,265,530,4.7,9.5
56,William R. Haine,D,3282404,15279,20015,278,555,5,10.2
57,"James F. Clayborne, Jr.",D,4923632,19825,25971,322,643,7.6,15.2
58,David S. Luechtefeld,R,3401612,15373,20138,288,576,5.2,10.5
59,Gary Forby,D,3939433,17615,23075,291,581,6.1,12.2
